n,p,v,corpus
其れ,を,送る,ted
部品,が,存在する,ted
状態,が,なる,ted
快方,に,向かう,ted
試験,を,受ける,ted
弁護,を,する,ted
政策,を,変える,ted
服,を,纏う,ted
メディア,が,映し出す,ted
アフリカ,を,映し出す,ted
力,を,信じる,ted
物,を,作る,ted
こと,に,ある,ted
興味,が,ある,ted
等,を,連れる,ted
どこ,へ,連れる,ted
宿題,を,出される,ted
日,に,受ける,ted
指導,を,受ける,ted
宿題,を,終わらせる,ted
其れ,から,帰る,ted
家,に,帰る,ted
意味,が,ある,ted
アンデス,に,ある,ted
付近,で,見失う,ted
道,を,見失う,ted
次,に,ご紹介する,ted
方法,を,ご紹介する,ted
内部,で,起きる,ted
こと,を,感知する,ted
棚,から,買う,ted
商品,を,買う,ted
技術,を,デザインする,ted
振り,を,する,ted
送り,に,なる,ted
逃れる,と,する,ted
財団,で,取り組む,ted
ロスリング,が,始める,ted
無知,と,戦う,ted
使い方,に,左右される,ted
会話,を,始める,ted
結果,を,言う,ted
人魚姫,が,見たい,ted
上海,に,いる,ted
貴方,に,結び付ける,ted
其れ,を,するべきです,ted
想像力,を,働かせる,ted
世界,に,齎す,ted
変化,を,齎す,ted
妹,に,起きる,ted
何,が,起きる,ted
脇,から,覗く,ted
四つん這い,で,着地する,ted
内面,を,曝け出す,ted
曲,が,完成する,ted
感情,を,する,ted
歌,に,する,ted
人,を,楽しませる,ted
人,に,分析される,ted
彼是,と,分析される,ted
プライバシー,を,出し尽くす,ted
プライバシー,を,出し尽くす,ted
熊手,が,見える,ted
群集,が,する,ted
手,に,する,ted
国民,を,引き離す,ted
人,が,死亡する,ted
話,を,する,ted
我々,が,ある,ted
フェロモン,が,ある,ted
諸説,を,お伝えする,ted
最後,に,目指すべし,ted
方向,を,示す,ted
そこ,で,思う,ted
アリ,が,触る,ted
アリ,を,触る,ted
匂い,を,嗅ぐ,ted
匂い,が,する,ted
層,で,グルーミングする,ted
互い,に,グルーミングする,ted
体,を,覆う,ted
必要,と,為合う,ted
数学者,が,問われる,ted
意義,を,問われる,ted
つ,に,分かれる,ted
姿勢,に,出る,ted
姿勢,に,出る,ted
男性,が,参加する,ted
運動,に,参加する,ted
温暖化,を,促進する,ted
脳,が,学習する,ted
アガラワラ,が,披露する,ted
bumptop,を,披露する,ted
メタファー,を,進化させる,ted
切り抜き,で,覆われる,ted
遊び場,に,なる,ted
博士課程,で,研究する,ted
こと,を,思い出す,ted
疑問,に,思い始める,ted
アストロラーベ,を,持つ,ted
昔,から,ある,ted
番組,に,なる,ted
代,に,遡る,ted
報酬,に,頼る,ted
こと,で,生じる,ted
意識,に,挫く,ted
行為,を,挫く,ted
胃凭れ,を,治す,ted
方法,を,伴う,ted
出血,を,伴う,ted
下痢,を,治す,ted
方法,を,教える,ted
メカニズム,を,刺激する,ted
互い,に,真似する,ted
数,を,数える,ted
顔,を,見分ける,ted
変化,が,ある,ted
テーマ,で,話す,ted
必要,が,ある,ted
本当,に,救いたい,ted
僕達,を,救いたい,ted
方法,が,ある,ted
人,と,話すなんて,ted
腐敗,が,ある,ted
多く,が,破壊される,ted
方法,が,続く,ted
此れ,から,突入する,ted
日本,が,突入する,ted
戦争,に,突入する,ted
人形,が,生きる,ted
舞台上,で,生きる,ted
全体,が,完成するまで,ted
中,に,見つけるです,ted
思い遣り,を,見つけるです,ted
思い遣り,に,似る,ted
物,が,する,ted
方,を,する,ted
こと,に,気付くです,ted
スペース,を,勝ち得る,ted
為,に,勝ち得る,ted
そこ,を,使う,ted
為,に,デザインする,ted
そこ,が,あり続ける,ted
私,が,失う,ted
手足,を,失う,ted
事実,と,なる,ted
一部,に,なる,ted
事実,を,拒絶する,ted
自分,を,拒絶する,ted
ワット,が,使われる,ted
人数,を,聞く,ted
此処,に,いる,ted
精神疾患,を,患う,ted
データ,が,示す,ted
科学技術,を,吸収する,ted
細胞核,を,分散する,ted
内,に,分散する,ted
サンプル,を,取る,ted
顕微鏡,で,見る,ted
細胞核,を,数える,ted
其れ,で,分かる,ted
数,が,分かる,ted
そこ,で,供給される,ted
始め,に,思い付く,ted
どこ,に,駐車する,ted
電力,が,供給される,ted
私達,に,戻す,ted
為,に,活用する,ted
ネットワーク,を,活用する,ted
違い,を,する,ted
基盤,に,する,ted
こと,を,しない,ted
シェーファー,が,紹介する,ted
デザイン,を,紹介する,ted
ニーズ,から,生まれる,ted
自然光,を,取り入れる,ted
スペース,を,有する,ted
航空機,を,想像する,ted
プリンター,から,生み出される,ted
部品,を,使用する,ted
岩石,に,残される,ted
せい,で,捉えにくかっする,ted
意味,が,捉えにくかっする,ted
さん,が,見られる,ted
データ,を,見られる,ted
等,を,渡される,ted
バナナ,を,くれって,ted
地球,で,繁殖する,ted
生存,を,脅かすほど,ted
此れ,から,作られる,ted
さん,に,作られる,ted
声,が,作られる,ted
声,を,お聞き頂く,ted
前,に,する,ted
講義,を,する,ted
鉄線,で,囲まれる,ted
地域,に,ある,ted
荒れ地,に,人里離れる,ted
決断,を,する,ted
スポーツ,から,離れ,ted
私,が,出会う,ted
未来,に,注力する,ted
以内,に,押さえる,ted
排出量,を,押さえる,ted
トン,に,押さえる,ted
目標,を,立てる,ted
病気,で,衰弱する,ted
体,が,衰弱する,ted
高齢,に,なる,ted
努力,を,する,ted
店員,が,言う,ted
私,と,合う,ted
目,が,合う,ted
町中,に,いる,ted
とも,に,いる,ted
スライド,を,お見せする,ted
此れ,を,スケールアップするか,ted
デバイス,を,取り付けない,ted
木,に,取り付けない,ted
問題,を,抱える,ted
私,が,する,ted
私,が,見る,ted
研究,を,見渡す,ted
ざっ,と,見渡す,ted
科学,が,消え行く,ted
上,に,ある,ted
縮尺,で,示される,ted
彼女,が,誘う,ted
彼,が,誘う,ted
試合,で,誘う,ted
彼女,を,誘う,ted
本当,に,掻き抱く,ted
腕,に,掻き抱く,ted
意味,が,ある,ted
場所,で,見つかるか,ted
新素材,が,見つかるか,ted
皆,を,乗せる,ted
ボート,に,乗せる,ted
私,が,説得出来る,ted
さん,を,説得出来る,ted
空き時間,に,ある,ted
さん,に,ある,ted
御願い,が,ある,ted
言葉,に,できない,ted
25,に,配置する,ted
電極,を,配置する,ted
赤,で,停止する,ted
前頭葉,が,停止する,ted
青,で,停止する,ted
刺激,を,与える,ted
逆転,が,実現する,ted
其れ,を,見過ごす,ted
ヒーロー,に,なれる,ted
其れ,を,見過ごす,ted
パーツ,を,ある,ted
必要,が,ある,ted
人生,が,変わる,ted
何,を,する,ted
渋滞,を,解消する,ted
此れ,が,結合する,ted
此れ,に,注目するか,ted
物,を,デザインする,ted
達,が,行う,ted
此れ,を,行う,ted
仕事,に,捧げる,ted
時間,を,捧げる,ted
本当,に,驚くべし,ted
常,に,求める,ted
フロンティア,を,求める,ted
爆発,が,届かないか,ted
手法,で,導き出す,ted
毎,に,使う,ted
言葉,を,使う,ted
会話,を,洗い出す,ted
カリフォルニア,が,ある,ted
真下,に,ある,ted
北,に,位置する,ted
サウスカロライナ,が,位置する,ted
家庭,で,育つ,ted
素粒子,に,与える,ted
質量,を,与える,ted
リアルタイム,で,撮影する,ted
変化,を,撮影する,ted
人気,が,ある,ted
理論,が,ある,ted
ナッシュ,で,なる,ted
物,で,言われる,ted
分析,と,言われる,ted
リソース,が,ある,ted
達,が,見せる,ted
抑制,を,見せる,ted
状況,が,悪化する,ted
市場,が,ある,ted
皆,に,思いこませる,ted
外観,を,する,ted
バビロニア,に,残る,ted
方法,を,知る,ted
他人,と,話す,ted
ルール,を,知らない,ted
彼,が,作る,ted
側面,から,かける,ted
圧力,を,かける,ted
場合,で,言う,ted
泥,に,似る,ted
山,に,似る,ted
模様,が,実証する,ted
何,を,する,ted
人々,が,対応し始める,ted
クレイ,が,発表する,ted
論文,を,発表する,ted
結果,が,始まる,ted
変更,が,始まる,ted
レビュー,を,行う,ted
常,に,ある,ted
変化,が,ある,ted
理由,が,分かる,ted
コーチ,が,聞こえない,ted
選手,に,聞こえない,ted
私,に,言う,ted
為,に,出来る,ted
南アフリカ,を,訪れる,ted
機会,を,得る,ted
氏,が,する,ted
先,を,読む,ted
流れ,を,"予想し
",ted
人々,を,集める,ted
基盤,が,ある,ted
最中,から,食べ続ける,ted
此れ,を,食べ続ける,ted
関係,を,捉えるか,ted
何,と,言うべきか,ted
影響力,を,持つ,ted
体験談,を,送る,ted
間,に,なる,ted
データ,に,なる,ted
編み,を,する,ted
理由,が,ある,ted
形,を,する,ted
生き物,が,いる,ted
等,に,組み込まれる,ted
アルゴリズム,に,組み込まれる,ted
義務,が,組み込まれる,ted
我々,が,上書きされる,ted
方,が,刻まれる,ted
心,に,刻まれる,ted
文化,に,よらず,ted
人,が,入る,ted
フロー,に,入る,ted
条件,が,ある,ted
会場,に,置く,ted
私達,が,生きる,ted
データ,を,操作する,ted
其れ,に,留まる,ted
刑務所,を,出る,ted
最初,に,する,ted
ネット,を,開く,ted
Twitter,を,開く,ted
Facebook,に,ログインする,ted
敬意,を,持つ,ted
意見,を,下さる,ted
方,に,接する,ted
顔付き,に,なる,ted
母,を,見る,ted
ナターシャ,に,会う,ted
孤児院,から,取る,ted
養子,に,取る,ted
年,に,なる,ted
倍,に,なる,ted
作戦,と,言う,ted
寄付,で,賄われる,ted
私,が,する,ted
耳,に,する,ted
感覚,が,織り込まれる,ted
トーク,に,織り込まれる,ted
利己心,に,訴える,ted
インド,を,見る,ted
格差,が,見られる,ted
何,を,感じる,ted
永久,に,得る,ted
浮力,を,得る,ted
頭,を,使わない,ted
グラフ,で,突き出す,ted
こと,を,示す,ted
此処,で,述べる,ted
トランプ,を,取る,ted
スペクトル,を,得る,ted
後,に,釈放される,ted
遺伝子,を,制御する,ted
スイッチ,と,いうだけで,ted
教師,を,する,ted
必要,と,する,ted
こと,に,変える,ted
配列,を,変える,ted
構造,が,変化する,ted
為,に,戦わない,ted
友達,に,投稿する,ted
ブログ,に,投稿する,ted
最初,に,お見せする,ted
病,を,患う,ted
電極,が,埋め込まれる,ted
様子,を,お見せする,ted
症状,が,ある,ted
電極,を,する,ted
オン,に,する,ted
語,を,打ち込む,ted
もの,を,乗せる,ted
上,に,乗せる,ted
子供達,が,なる,ted
大人,に,なる,ted
過程,で,監督する,ted
組織,が,監督する,ted
旅路,を,監督する,ted
数時間,に,渡る,ted
犬,が,救出される,ted
こと,に,作る,ted
バクテリア,を,作る,ted
飛行機,に,乗せる,ted
ダライ・ラマ,に,会う,ted
問題解決,に,集中する,ted
答え,で,決まる,ted
新種,に,つける,ted
名前,を,つける,ted
人々,が,いる,ted
概念,が,移行する,ted
臓器,から,移行する,ted
細胞,に,移行する,ted
箇国,から,集まる,ted
人,から,なる,ted
チーム,を,編成する,ted
力,を,解き放つ,ted
事柄,に,溺れる,ted
両者,を,折衷する,ted
未来,に,突き進まず,ted
最初,に,確かめる,ted
システム,が,生み出す,ted
改善,を,生み出す,ted
可能性,が,ある,ted
為,に,払い又,ted
お金,を,払い又,ted
習慣,が,ある,ted
リスク,を,下げる,ted
レベル,に,下げる,ted
ピーク,を,過ぎる,ted
都市,が,できない,ted
住民,を,できない,ted
都市,が,なる,ted
住民,を,できない,ted
信号,が,反応する,ted
医者,が,知る,ted
物,を,する,ted
ブッダ,が,見る,ted
牛,を,見る,ted
本質,を,否定する,ted
マラソン,を,する,ted
後,から,分かる,ted
人生,を,する,ted
限界,に,限り無い,ted
母,を,持つ,ted
物語,を,展開する,ted
デパート,で,気づかれる,ted
機会,を,利用出来る,ted
放射線,を,使用する,ted
組織,で,昇進する,ted
私,が,学ぶ,ted
スケートボード,で,学ぶ,ted
様,に,伝える,ted
こと,に,あるって,ted
価値,が,あるって,ted
歳,に,なる,ted
スキル,に,持たない,ted
資金,を,得る,ted
術,を,持たない,ted
そこ,に,着く,ted
此処,から,直面する,ted
そこ,から,直面する,ted
部品,を,集める,ted
機械,を,作り出す,ted
以内,に,する,ted
ドット,を,する,ted
手,に,する,ted
場,で,描く,ted
グループ,が,生まれる,ted
サイト,から,生まれる,ted
感情,と,変わらない,ted
年,に,発見する,ted
島,を,発見する,ted
鮫,が,いる,ted
こと,を,記す,ted
オール,に,噛み付く,ted
私,が,解放される,ted
前,に,なる,ted
人質,が,なる,ted
打ち首,に,なる,ted
私,が,捕らえられる,ted
場所,から,離れる,ted
オーロラ,に,ある,ted
此方,を,見ない,ted
脳,が,出す,ted
指令,を,出す,ted
箇所,を,伝わらない,ted
解像度,で,届ける,ted
教材,を,届ける,ted
身体,に,成長する,ted
心,に,染みる,ted
療法,で,治療する,ted
成年者,を,治療する,ted
一人,と,なる,ted
経験,を,教える,ted
影響,を,食い止める,ted
時間,を,与える,ted
字,に,限られる,ted
スケッチブック,に,作る,ted
コマ,を,作る,ted
そこ,に,行く,ted
ツイート,を,手書きする,ted
ツイート,に,なる,ted
男性,が,近付く,ted
服,を,着る,ted
罰金,が,解除される,ted
私,が,開発する,ted
常,に,いる,ted
私,が,いる,ted
中心,に,いる,ted
こと,を,する,ted
前提,に,する,ted
ライオン,が,する,ted
狩り,を,する,ted
緊張感,が,伝わる,ted
鳴き声,を,聞く,ted
砂漠,で,上げる,ted
効果,を,上げる,ted
機関,に,ある,ted
加速器,で,衝突させる,ted
陽子,を,衝突させる,ted
仕事,を,上がる,ted
学校,で,ハリー,ted
ハリー,を,ハリー,ted
最後,に,なる,ted
等,を,する,ted
作業,を,出来る,ted
物,を,作る,ted
データ,を,使う,ted
家,を,新築する,ted
値,を,示す,ted
アムステルダム,から,届ける,ted
影響,から,話す,ted
コンピューター,が,ある,ted
中,に,テスト出来る,ted
化学者,に,作らせる,ted
kinect,に,向ける,ted
手,を,振る,ted
kinect,に,向ける,ted
手,を,振る,ted
手,を,伸ばす,ted
星,に,触れる,ted
星,を,生成する,ted
文,が,再生出来る,ted
星,を,生成する,ted
文,が,再生出来る,ted
